funddwid,projectid,fundname,type,amount
59703,64745,Reso A,Grant,1220270
52013,64756,City Capital,Loan,842254
55687,64796,Reso A,Loan,513000
67609,64828,HOME,Loan,2826966
67611,64828,City Capital,Loan,8748029
67616,64828,Reso A,Loan,1500000
59036,64829,HOME,Loan,10440000
56373,64885,City Capital,Loan,105835672
62682,64886,City Capital,Loan,43365000
71133,64887,City Capital,Loan,68750566
74600,64898,City Capital,Loan,113168692
74606,64898,Reso A,Loan,4000000
51708,65054,City Capital,Loan,42600000
55409,65205,City Capital,Loan,10275569
55484,65210,City Capital,Loan,4720964
58973,65212,City Capital,Loan,8550000
54343,65213,Reso A,Grant,1000000
55626,65213,City Capital,Loan,58860000
54626,65215,Reso A,Loan,5500000
55572,65227,City Capital,Loan,20596743
51657,65254,City Capital,Loan,15934680
64883,65261,City Capital,Loan,14667211
64894,65261,Reso A,Loan,1500000
51709,65275,City Capital,Loan,5145016
59154,65280,City Capital,Loan,10146914
58423,65291,City Capital,Loan,41075000
58424,65291,Reso A,Loan,2000000
58916,65298,City Capital,Loan,37795529
58934,65298,Reso A,Loan,1000000
65613,65303,City Capital,Loan,23086296
51868,65304,City Capital,Loan,17520000
68703,65305,Reso A,Loan,4500000
51925,65305,City Capital,Loan,25817855
51859,65315,City Capital,Loan,5889999
58734,65320,HOME,Loan,12725000
52085,65337,City Capital,Loan,159742
52385,65357,City Capital,Loan,1000000
54662,65357,City Capital,Grant,38150901
57565,65360,City Capital,Loan,360000
72913,65369,City Capital,Loan,56013802
52708,65373,City Capital,Loan,8784052
55417,65374,City Capital,Loan,16442686
52715,65377,City Capital,Loan,1900074.46
52707,65378,City Capital,Loan,8194750
52806,65409,City Capital,Loan,43848452
52965,65433,City Capital,Loan,9555449
53275,65467,Reso A,Loan,500000
60238,65467,City Capital,Loan,7058318
55008,65470,City Capital,Loan,34859234
57652,65523,City Capital,Loan,762082
54857,65543,HOME,Loan,6500000
66412,65554,City Capital,Loan,17100000
54006,65563,City Capital,Loan,266806
60064,65582,City Capital,Loan,7410708
54610,65599,City Capital,Loan,727540
70906,65600,City Capital,Loan,21136412
54616,65621,Reso A,Grant,2500000
55636,65621,City Capital,Loan,1368853
56459,65730,City Capital,Loan,4978810
54864,65983,Reso A,Loan,1000000
56469,65983,HOME,Loan,13448712
54711,66005,City Capital,Loan,6300000
59786,66102,City Capital,Loan,2294560
54867,66105,City Capital,Loan,13090000
54569,66144,City Capital,Loan,5500585
54570,66145,City Capital,Loan,3580199
62115,66212,City Capital,Loan,155000000
62120,66212,Reso A,Loan,2000000
54957,66225,City Capital,Loan,25765354
54631,66558,City Capital,Loan,305207
